[2025-10-02 23:21:03,074][main_train.py][line:91][INFO] Best Test acc=76.080
[2025-10-02 23:21:06,389][main_train.py][line:80][INFO] Epoch:[18/300]	 loss=149.48171	 acc=68.746	 avg_spikes=0.000
[2025-10-02 23:21:06,876][main_train.py][line:84][INFO] Epoch:[18/300]	 Test acc=77.210	 Test avg_spikes=0.000

[2025-10-02 23:21:06,885][main_train.py][line:91][INFO] Best Test acc=77.210
[2025-10-02 23:21:10,201][main_train.py][line:80][INFO] Epoch:[19/300]	 loss=147.68509	 acc=69.146	 avg_spikes=0.000
[2025-10-02 23:21:10,739][main_train.py][line:84][INFO] Epoch:[19/300]	 Test acc=61.360	 Test avg_spikes=0.000

[2025-10-02 23:21:10,739][main_train.py][line:91][INFO] Best Test acc=77.210
[2025-10-02 23:21:14,325][main_train.py][line:80][INFO] Epoch:[20/300]	 loss=146.36353	 acc=69.612	 avg_spikes=0.000
[2025-10-02 23:21:14,844][main_train.py][line:84][INFO] Epoch:[20/300]	 Test acc=75.910	 Test avg_spikes=0.000

[2025-10-02 23:21:14,844][main_train.py][line:91][INFO] Best Test acc=77.210
[2025-10-02 23:21:18,119][main_train.py][line:80][INFO] Epoch:[21/300]	 loss=144.01278	 acc=69.888	 avg_spikes=0.000
[2025-10-02 23:21:18,629][main_train.py][line:84][INFO] Epoch:[21/300]	 Test acc=78.900	 Test avg_spikes=0.000

[2025-10-02 23:21:18,639][main_train.py][line:91][INFO] Best Test acc=78.900
[2025-10-02 23:21:22,370][main_train.py][line:80][INFO] Epoch:[22/300]	 loss=144.06581	 acc=70.152	 avg_spikes=0.000
[2025-10-02 23:21:22,870][main_train.py][line:84][INFO] Epoch:[22/300]	 Test acc=77.120	 Test avg_spikes=0.000

[2025-10-02 23:21:22,871][main_train.py][line:91][INFO] Best Test acc=78.900
[2025-10-02 23:21:26,443][main_train.py][line:80][INFO] Epoch:[23/300]	 loss=143.95703	 acc=69.882	 avg_spikes=0.000
[2025-10-02 23:21:26,975][main_train.py][line:84][INFO] Epoch:[23/300]	 Test acc=70.870	 Test avg_spikes=0.000

[2025-10-02 23:21:26,975][main_train.py][line:91][INFO] Best Test acc=78.900
[2025-10-02 23:21:30,480][main_train.py][line:80][INFO] Epoch:[24/300]	 loss=143.29620	 acc=70.204	 avg_spikes=0.000
[2025-10-02 23:21:31,010][main_train.py][line:84][INFO] Epoch:[24/300]	 Test acc=76.930	 Test avg_spikes=0.000

[2025-10-02 23:21:31,010][main_train.py][line:91][INFO] Best Test acc=78.900
[2025-10-02 23:21:34,689][main_train.py][line:80][INFO] Epoch:[25/300]	 loss=142.15298	 acc=70.434	 avg_spikes=0.000
[2025-10-02 23:21:35,217][main_train.py][line:84][INFO] Epoch:[25/300]	 Test acc=70.990	 Test avg_spikes=0.000

[2025-10-02 23:21:35,218][main_train.py][line:91][INFO] Best Test acc=78.900
[2025-10-02 23:21:39,590][main_train.py][line:80][INFO] Epoch:[26/300]	 loss=141.37770	 acc=70.658	 avg_spikes=0.000
[2025-10-02 23:21:40,124][main_train.py][line:84][INFO] Epoch:[26/300]	 Test acc=76.430	 Test avg_spikes=0.000

[2025-10-02 23:21:40,124][main_train.py][line:91][INFO] Best Test acc=78.900
[2025-10-02 23:21:43,570][main_train.py][line:80][INFO] Epoch:[27/300]	 loss=140.27845	 acc=70.694	 avg_spikes=0.000
[2025-10-02 23:21:44,078][main_train.py][line:84][INFO] Epoch:[27/300]	 Test acc=76.610	 Test avg_spikes=0.000

[2025-10-02 23:21:44,078][main_train.py][line:91][INFO] Best Test acc=78.900
[2025-10-02 23:21:47,838][main_train.py][line:80][INFO] Epoch:[28/300]	 loss=139.45575	 acc=70.786	 avg_spikes=0.000
[2025-10-02 23:21:48,376][main_train.py][line:84][INFO] Epoch:[28/300]	 Test acc=78.600	 Test avg_spikes=0.000

[2025-10-02 23:21:48,376][main_train.py][line:91][INFO] Best Test acc=78.900
[2025-10-02 23:21:52,112][main_train.py][line:80][INFO] Epoch:[29/300]	 loss=138.38374	 acc=71.114	 avg_spikes=0.000
[2025-10-02 23:21:52,651][main_train.py][line:84][INFO] Epoch:[29/300]	 Test acc=78.220	 Test avg_spikes=0.000

[2025-10-02 23:21:52,652][main_train.py][line:91][INFO] Best Test acc=78.900
[2025-10-02 23:21:56,410][main_train.py][line:80][INFO] Epoch:[30/300]	 loss=138.36790	 acc=71.048	 avg_spikes=0.000
[2025-10-02 23:21:56,947][main_train.py][line:84][INFO] Epoch:[30/300]	 Test acc=73.080	 Test avg_spikes=0.000

[2025-10-02 23:21:56,947][main_train.py][line:91][INFO] Best Test acc=78.900
[2025-10-02 23:22:00,573][main_train.py][line:80][INFO] Epoch:[31/300]	 loss=138.30108	 acc=70.890	 avg_spikes=0.000
[2025-10-02 23:22:01,094][main_train.py][line:84][INFO] Epoch:[31/300]	 Test acc=75.250	 Test avg_spikes=0.000

[2025-10-02 23:22:01,094][main_train.py][line:91][INFO] Best Test acc=78.900
[2025-10-02 23:22:04,424][main_train.py][line:80][INFO] Epoch:[32/300]	 loss=137.14822	 acc=71.282	 avg_spikes=0.000
[2025-10-02 23:22:04,966][main_train.py][line:84][INFO] Epoch:[32/300]	 Test acc=78.330	 Test avg_spikes=0.000

[2025-10-02 23:22:04,966][main_train.py][line:91][INFO] Best Test acc=78.900
[2025-10-02 23:22:08,642][main_train.py][line:80][INFO] Epoch:[33/300]	 loss=137.53260	 acc=71.126	 avg_spikes=0.000
[2025-10-02 23:22:09,175][main_train.py][line:84][INFO] Epoch:[33/300]	 Test acc=80.140	 Test avg_spikes=0.000

[2025-10-02 23:22:09,185][main_train.py][line:91][INFO] Best Test acc=80.140
[2025-10-02 23:22:12,792][main_train.py][line:80][INFO] Epoch:[34/300]	 loss=136.00753	 acc=71.518	 avg_spikes=0.000
[2025-10-02 23:22:13,289][main_train.py][line:84][INFO] Epoch:[34/300]	 Test acc=71.250	 Test avg_spikes=0.000

[2025-10-02 23:22:13,290][main_train.py][line:91][INFO] Best Test acc=80.140
[2025-10-02 23:22:17,406][main_train.py][line:80][INFO] Epoch:[35/300]	 loss=136.93524	 acc=71.400	 avg_spikes=0.000
[2025-10-02 23:22:17,943][main_train.py][line:84][INFO] Epoch:[35/300]	 Test acc=75.650	 Test avg_spikes=0.000

[2025-10-02 23:22:17,943][main_train.py][line:91][INFO] Best Test acc=80.140
[2025-10-02 23:22:21,376][main_train.py][line:80][INFO] Epoch:[36/300]	 loss=134.35744	 acc=72.066	 avg_spikes=0.000
[2025-10-02 23:22:21,920][main_train.py][line:84][INFO] Epoch:[36/300]	 Test acc=80.350	 Test avg_spikes=0.000

[2025-10-02 23:22:21,930][main_train.py][line:91][INFO] Best Test acc=80.350
[2025-10-02 23:22:25,458][main_train.py][line:80][INFO] Epoch:[37/300]	 loss=133.89279	 acc=72.122	 avg_spikes=0.000
[2025-10-02 23:22:25,987][main_train.py][line:84][INFO] Epoch:[37/300]	 Test acc=74.030	 Test avg_spikes=0.000

[2025-10-02 23:22:25,988][main_train.py][line:91][INFO] Best Test acc=80.350
[2025-10-02 23:22:29,603][main_train.py][line:80][INFO] Epoch:[38/300]	 loss=133.55127	 acc=72.198	 avg_spikes=0.000
[2025-10-02 23:22:30,139][main_train.py][line:84][INFO] Epoch:[38/300]	 Test acc=77.340	 Test avg_spikes=0.000

[2025-10-02 23:22:30,139][main_train.py][line:91][INFO] Best Test acc=80.350
[2025-10-02 23:22:33,842][main_train.py][line:80][INFO] Epoch:[39/300]	 loss=135.37805	 acc=71.886	 avg_spikes=0.000
